AirportCode,AirportName,Country
 CUT , CUSTER COUNTY , United States 
PGI,Sunset Hill International, United States 
OXT,Green Bay Airfield, United States 
HRT,Mountain Hill Airfield, United States 
 DEC , DECATUR , United States 
 IWS , West Houston Airport , United States 
RBF,Lake Hill Airport, United States 
 STS , Santa Rosa , United States 
EZI,Redwood Hill Municipal, United States 
WGH,Green Bay Airport, United States 
KST,Silver Field Municipal, United States 
WQP,Redwood Bay Airport, United States 
 MOX , Morris Municipal Airport , United States 
BJO,Redwood Valley Airport, United States 
 73E , Las Cruces Memorial Hospital , United States 
 BJC , Jefferson County Airport , United States 
MRF,Sky Field Airport, United States 
 MGY , Dayton-Wright Brothers Airport , United States 
 PANC , Ted Stevens Anchorage Intl. , United States 
 NONE ,Sky Field Airfield, United States 
SJG,Mountain Field International, United States 
 FUL , FULLERTON MUNI , United States 
 MO49 , Dummy , United States 
 PVT , Private Airstrip , United States 
CON,Oak Springs Regional, United States 
ZJF,Redwood Valley Municipal, Chile 
 64I , Lee Bottom , United States 
 BUR , Burbank , United States 
ARJ,Redwood Heights Airfield, United States 
 FCI , Chesterfield County Airport , United States 
FWC,Clearwater Creek International, United States 
RDN,Clearwater Bay Airfield, Germany 
TFM,Oak Hill Airport, United States 
IUU,Redwood Hill International, United States 
 NONE , Crane Island , United States 
KGT,Oak Point Airfield, United States 
 3R9 , Lakeway , United States 
FNF,Oak Field International, Germany 
 GWR , Gwinner-Roger Melroe Field , United States 
 2R4 , Peter Prince Field Airport , United States 
WUM,Redwood Field International, United States 
 23N , Bayport Aerodrome , United States 
 FLG , Flagstaff Pulliam Airport , United States 
 PVU , Provo Municipal , United States 
 JXN , Jackson County-Reynolds Field , United States 
HAZ,Sky Creek Airfield, United States 
WTY,Mountain Heights Airport, United States 
 KRYY , Cobb County - McCollum Field , United States 
 EGV , Eagle River Union , United States 
 LSB , LORDSBURG MUNI , United States 
 BFI , Boeing Field/King County Int. , United States 
 O15 , Turlock Municipal Airport , United States 
BUU,Sunset Creek Airfield, United States 
JIY,Clearwater Harbor Regional, United States 
 KMEM , Memphis International , United States 
IHU,Lake Creek International, United States 
ZTG,Oak Point Municipal, United Kingdom 
IPQ,Green Field Regional, Switzerland 
XOY,Oak Field Municipal, United States 
UKJ,Mountain Creek Regional, United States 
 OXI , STARKE COUNTY , United States 
HEB,Clearwater Bluff Municipal, United States 
RPP,Sunset Heights Regional,United States
EWE,Redwood Harbor International, Finland 
 IXD , New Centrury Air Center , United States 
OPX,Redwood Valley International, United States 
YJS,Silver Springs Airfield, United States 
 MU33 , Harrison Airport , United States 
MGF,Sky Creek Airfield, United States 
RHV,Sunset Bluff Airport, United States 
 KFFZ , Falcon Feild , United States 
WYE,Green Hill International, United States 
 O57 , Bryant Field Airport , United States 
 PAMH , Minchumina , United States 
YIA,Sky Bluff Airfield, United States 
 KFFA , First Flight , United States 
 KOA , Kona International Airport , United States 
 ASE , Aspen-Pitkin Co/Sardy Field , United States 
 ORD , Chicago O'Hare Intl , United States 
YZC, Slana Homestead Strip , United States 
 KX40 , Inverness , United States 
 U77 , Spanish Fork-Springville , United States 
 SMQ , Somerset Airport , United States 
UAU,Oak Heights Municipal, United States 
 17M , Magee Municipal Airport , United States 
 PVT ," Belle Glade, FL ", United States 
 KMGM , Montgomery Reg/Dannelly Field , United States 
 KMRY , Monterey , United States 
RPE,Oak Valley Municipal, United States 
MFL,Redwood Heights Regional, United States 
CDA,River Valley International, United States 
BPD,Mountain Bluff Regional, United States 
IWF,Sunset Bay Regional, United States 
 LAX , Los Angeles International , United States 
 DET , Detroit City Airport , United States 
 29OR , Smith Private Airport , United States 
 KWJF , William J Fox , United States 
 Y47 , Oakland Southwest Airport , United States 
DHR,Silver Springs Municipal, United States 
GJQ,Oak Hill International, United States 
 TJIG , Fernando Luis Ribas Dominicci , United States 
 51WA , Evergreen Skyranch , United States 
 PEO , Penn Yan , United States 
 IWI , Wiscasset , United States 
 LGC , Lagrange Callaway , United States 
 SUS , SPIRIT OF ST LOUIS , United States 
QRZ,Lake Creek International, United States 
JZK,Green Field Airport, Sweden 
 DLS , Columbia Gorge Regional , United States 
 OXC , WATERBURY-OXFORD , United States 
 KSFO , San Francisco International , United States 
 KOVL , Olive Branch , United States 
FNB,Clearwater Hill International, United States 
 X40 , Inverness , United States 
PND,Clearwater Harbor Airfield, United States 
 KGNV , Gainesville Regional Airport , United States 
 TMB , Kendall Tamiami , United States 
OFV,Mountain Harbor International, United States 
 PKF , PARK FALLS MUNI , United States 
NJR, None , United States 
SQD,Sunset Field Municipal, United States 
 1G5 , Medina Municipal Airport , United States 
 PVT ,Lake Bluff Municipal, United States 
 ORG , Orange County , United States 
YPA,River Hill Municipal, Zambia 
 RYY , Coob Co. Mc Collum Airport , United States 
 SAT ,River Heights Regional, United States 
 ASH , Boire Field , United States 
GGF,Silver Harbor Airfield, United States 
 8S5 , East Cooper , United States 
JBT,Oak Bluff Airport, Ecuador 
 CRW , Yeager Airport , United States 
IQM,Oak Creek Airport, Australia 
 CPR , Natrona County Intnl Airport , United States 
 AZ81 , Boeing Heliport , United States 
AKW,Green Creek Municipal, United States 
 ID76 , Wilson Bar USFS Arpt , United States 
 4I9 , Mount Gilead , United States 
ESL,Sunset Harbor Airport, United States 
 KTHA , Tullahoma Regional Airport , United States 
 2V1 , Stevens Field , United States 
YPX,Sunset Creek Regional, United States 
IVV,Lake Field Municipal, United States 
 7V1 , Buena Vista Municipal Airport , United States 
 ID82 , Picabo , United States 
 PEO , Penn Yan Airport , United States 
 VGT , North Las Vegas , United States 
DRU,Oak Heights International, United States 
 CLM , William R. Fairchild Intl , United States 
 MTP , Montauk , United States 
BXI,Lake Point Municipal, United States 
 NC14 , Boone Airport , United States 
TWY,Mountain Springs Airport, United States 
OKT,Mountain Springs Airfield, United States 
DSQ,River Field Regional, United States 
XUC,Redwood Bay Airport, United States 
 CRS , Corsicana Field , United States 
RFQ,Mountain Harbor Airfield, United States 
 COS , City Of Colorado Springs Muni , United States 
MTR, Pvt , United States 
 GYY , Gary , United States 
SVD,Clearwater Field Municipal, United States 
 SDF , STANDIFORD FIELD , United States 
APS,Silver Point Airport, United States 
QPG,Lake Heights Airport, United States 
 4TS5 , Goebel Field , United States 
 FAT , Fresno Yosemite International , United States 
UEL,Redwood Springs Airfield, United States 
RQQ,Green Field Regional, United States 
VQX, Private Grass Strip , United States 
BCX, Private airpstrip , United States 
 MRI , MERRILL FIELD , United States 
 LWM , LAWRENCE MUNI , United States 
 T31 , Aero Country Airport , United States 
 E68 , Estrella Sailport , United States 
CYT,Redwood Hill Regional, United States 
 L41 , MARBLE CANYON , United States 
 KDRI , Beauregard Regional Airport , United States 
LMH, Private Strip , United States 
BWS,Clearwater Creek Airfield, United States 
 LVJ , Pearland Regional Airport , United States 
GOF,Silver Bay Municipal, United States 
 O28 , Willits Municipal , United States 
HCX,Green Valley Airport, Spain 
ZKT,Lake Valley Airport, United Kingdom 
MPG,Green Bluff Municipal, Japan 
 PACV , Merle K (Mudhole) Smith , United States 
AQG, None , United States 
WUO,River Creek Municipal, United States 
 ELP , EL PASO INTL , United States 
 CA35 , San Rafael , United States 
KGW,Clearwater Springs Municipal, Australia 
EMK,Silver Bay Airport, Australia 
 WHP , Whiteman , United States 
NEK,Clearwater Springs Airfield, United States 
SPV," Private Airstrip, Aldama ", Mexico 
 48V , TRI-COUNTY , United States 
 26N , OCEAN CITY MUNI , United States 
 W66 , Warrenton-Fauquier Airport , United States 
 LVN , Airlake Airport , United States 
 P32 , H. A. Clark Memorial Field , United States 
 ABQ , ALBUQUERQUE INTL , United States 
 S27 , Kalispell City Airport , United States 
RQV,Oak Valley Municipal, United States 
ERY,Sky Valley International, United States 
 PAN , Payson Airport , United States 
 PRC , ERNEST A. LOVE FIELD , United States 
 PRC , ERNEST A. LOVE FIELD , United States 
 PDK , DEKALB-PEACHTREE , United States 
AHF,Sky Creek Municipal, United States 
TEZ,Silver Point Airport, Italy 
OYM,River Bluff Airfield, United States 
 C01 , Southern Cross , United States 
 0I8 , CYNTHIANA-HARRISON COUNTY , United States 
CVV,Mountain Hill International, United States 
 WWD , Cape May County Airport , United States 
CPD,Redwood Valley International, United States 
 AXH , Houston Southwest Airport , United States 
OFO,Redwood Springs Regional, Canada 
 ODO , Odessa-Schlemeyer Field Airpor , United States 
 RLD , Richland , United States 
ISL,Sunset Valley Municipal, United States 
COH,Silver Point Airport, United States 
IYI,Oak Heights International, United States 
OUJ,River Harbor Airfield,United States
RZZ,Oak Hill Municipal, Venezuela 
 KVNC , Venice Airport , United States 
SXL,Sky Creek Regional, United States 
FNZ,Sky Bay Airport, Taiwan 
 LGU , Logan-Cache Airport , United States 
 SHV , Shreveport Regional , United States 
 DEQ , J Lynn Helms Sevier County Air , United States 
ZOM,Clearwater Valley Municipal, United States 
 KPFN , Panama City Bay County Interna , United States 
 P15 , Brokenstraw Airport , United States 
FGI,Sky Field Municipal, United States 
 7S3 , Stark's Twin Oaks Airpark , United States 
TPH,Redwood Harbor Airfield, United States 
LUM,Sky Bay Airfield, United States 
XPY,Mountain Bluff Airport, United States 
LYK,Mountain Point Airfield, United States 
 LOU , Bowman Field Airport , United States 
 42NC , Spring Paths Airport , United States 
 Z41 , Lake Hood Strip , United States 
 DEH , DECORAH MUNI , United States 
EBW,Mountain Heights International, United States 
GGK,Oak Point Airfield, United States 
FSG,Silver Hill Airfield, United States 
 1M6 , Standard Field , United States 
 AUN , Auburn Municipal Airport , United States 
ZOZ,Oak Creek Regional, United States 
 SMN , LEMHI COUNTY , United States 
 PVT ,Sky Bluff International, United States 
KFK,Lake Creek International, United States 
YPI,Green Bay Regional, United States 
ZJA,Clearwater Creek Regional, United States 
 STK , Sterling Municipal , United States 
 L35 , Big Bear City , United States 
 7G0 , LEDGEDALE AIRPARK , United States 
 74V , Roosevelt Municipal , United States 
 LOZ , London-Corbin Airport , United States 
PTT,Lake Hill Municipal, Germany 
 CCB , Cable Airport , United States 
HRM,Silver Bluff Regional, United States 
 E40 , Wilson's Airport USA , United States 
VDX,Silver Point Regional, United States 
UTV,River Heights Airfield, United States 
 LAX ," Los Angeles, CA ", United States 
 CNM , Cavern City Air Terminal , United States 
 JAC , Jackson Hole Airport , United States 
 BAZ , New Braunfels Municipal Airpor , United States 
 4AK6 , Wolf Lake Airport , United States 
YZH,Sky Bay International, United States 
 SOW , Show Low , United States 
 1T7 , Kestrel Airpark , United States 
 NONE , Pittsburg Landing , United States 
WBK,Redwood Creek International, United States 
OPY,Mountain Field International, United States 
 3B4 , Littlebrook Airpark , United States 
 82J , Ferguson Field , United States 
WUA,Mountain Hill Airfield, United States 
 3N7 , Pemberton Airport , United States 
 RVS , Richard Lloyd Jones Jr. Arpt , United States 
 PNE , Northeast Philadelphia Airport , United States 
 PNE , Northeast Philadelphia Airport , United States 
 PUW , Pullman-Moscow Reg. , United States 
MLN,Clearwater Field Airfield, United States 
EZX, Private , United States 
PHL, Heth Airstrip , United States 
 IFP , Laughlin/Bullhead Internationa , United States 
OOE,Sunset Harbor International, United States 
 OGG , Kahului Helipad , United States 
QTT,Sunset Hill Regional, Panama 
 O48 , Little River Airport , United States 
WRH,Clearwater Harbor Municipal, United States 
 ID25 , Olmstead Sky Ranch Airport , United States 
WBB,Redwood Creek Municipal, Australia 
 O52 , Sutter County Airport , United States 
 SWD , Seward , United States 
 59M , TORCHPORT , United States 
 AID , ANDERSON MUNICIPAL-DARLINGTON , United States 
 I43 , James A Rhodes Airport , United States 
CXD,River Field Municipal, United States 
UPQ,Lake Point Regional, United States 
 NH31 , Mountain View Field , United States 
 NY94 , Old Rhinebeck , United States 
GCO,Mountain Harbor Airport, United States 
CUG,Sunset Creek Municipal, United States 
 PHNL , Honolulu International Airport , United States 
ZLW,Lake Bluff Airfield, United States 
ZTO,Green Springs International, Mexico 
KWY,Green Valley International, United States 
 CVG , CINCINNATI/NORTHERN KENTUCKY I , United States 
QNY,Silver Heights International, Canada 
RFF,River Field Airfield, United States 
 KBAZ , New Braunfels Municipal , United States 
FXQ,Clearwater Valley Regional, United States 
CRU,Green Heights International, United States 
 MVY , Vineyard Haven Airport , United States 
FBZ,Mountain Heights International, United States 
SLK,Silver Springs Municipal, United States 
 HHG , Huntington Municipal Airport , United States 
TFJ,Mountain Springs Airfield, Sierra Leone 
BFN,Mountain Heights Airport, United States 
DLZ,Silver Harbor International, Czech Republic 
 IAH , HOUSTON INTERCONTINENTAL , United States 
QZR,Mountain Bay Municipal, United States 
RIZ,Silver Heights Airfield, United States 
 L31 , St. Tammany Regional Airport , United States 
ECM,Sunset Point Municipal, United States 
 SDL , Scottsdale Airport , United States 
 5CO0 , Durango-Animas Airpark , United States 
ZTU,Redwood Field Airfield, Australia 
QCW,Mountain Springs Airfield, United States 
 APA , CENTENNIAL , United States 
 BHB , Hancock County - Bar Harbor , United States 
HEQ,Sky Hill Regional, United States 
CKM,River Hill Airport, United States 
 DTO , Denton Municipal Airport , United States 
MTN,Green Field Airfield, United States 
 JAC , JACKSON HOLE , United States 
 KCHD , Chandler Municipal Airport , United States 
VQZ,Oak Hill Airfield, United States 
FBX,Clearwater Springs Regional, United States 
 M52 , Franklin Wilkins , United States 
 WV30 , Rainelle Airport , United States 
 N40 , Sky Manor Airport , United States 
 9B1 , Marlboro Airport , United States 
 N07 , Lincoln Park , United States 
 N07 , Lincoln Park , United States 
 14S , Westport Airport , United States 
KXV,Clearwater Bay Regional, United States 
VGJ,Lake Field Regional, United States 
ADM,Redwood Field Regional, United States 
 PAWS , Wasilla , United States 
LVP,Oak Bay Regional, Bolivia 
 DEN , Denver International Airport , United States 
WMR, None , United States 
 PAMR , Merrrill Field , United States 
TZH,Lake Creek Regional, United States 
VHH, N/A , United States 
 KTOA , Zamperini Field , United States 
 IXD , New Century Aircenter , United States 
SRE, Private Airstrip , United States 
AEA,Redwood Bluff Regional, United States 
JDJ,Sunset Springs International, Sweden 
GDA,Clearwater Bay Municipal, Denmark 
HAR,Clearwater Field Airfield, United States 
SJT,Sunset Bluff Airport, United States 
 KGEU , Glendale Muni , United States 
 IXD , New Century , United States 
 SUS , Spirit of St. Louis , United States 
 X47 , FLAGLER COUNTY , United States 
 RBQ , ROBEN-HOOD , United States 
 ASE , Pitken County/Sardy Field , United States 
DPC,Sunset Field Airport, Canada 
BTP,Redwood Harbor Regional, United States 
PBK,Oak Creek International, United States 
 ONY , Olney Municipal Airport , United States 
 MWL , MINERAL WELLS , United States 
 KSRQ , Sarasota/Bradenton Int'l , United States 
 K23 , Cooperstown-Westville Airport , United States 
 PSB , Mid-State Airport , United States 
BYK,Mountain Bluff Regional, United States 
 3R9 , Lakeway Airport , United States 
LBY,Sunset Creek Regional, United States 
 K12J , Brewton Municipal , United States 
 BVY , BEVERLY MUNI , United States 
 I72 , WESTFIELD , United States 
 PLK , M Graham Clark , United States 
 W12 , Lost River Resort , United States 
 W10 , Whidbey Air Park , United States 
 MSN , Dane County Regional , United States 
 F31 , Lake Texoma State Park Airport , United States 
 F31 , Lake Texoma State Park Airport , United States 
 7S6 , White Sulphur Springs Airport , United States 
VAJ,Lake Valley Airfield, United States 
YWC,Sunset Heights International, Chile 
YPW, N/A , United States 
 KSNH , Savannah - Hardin County , United States 
 RDM , ROBERTS FIELD , United States 
 GJT , Walker Field , United States 
MLM,Lake Harbor Airfield, United States 
 BLM , Monmouth Executive , United States 
IYH,Silver Heights International, United States 
ISU,Mountain Field Airport, Honduras 
 FD77 , Wimauma Air Park , United States 
 6P3 , Waunakee Airport , United States 
 S28 , International Peace Garden Apt , United States 
 1D2 , Canton-Plymouth-Mettetal , United States 
 BYY , Bay City Municipal Airport , United States 
 CUT , Custer County , United States 
 NONE ,Silver Valley Airfield, United States 
OBF,Silver Bay Municipal, United States 
 1L8 , HURRICANE , United States 
XPW,Sky Valley Regional, United States 
LKH,Mountain Creek International, United States 
AJP,Green Point Airport, United States 
 19S , Sublette Flying Club Airport , United States 
 IN46 , Butler Field , United States 
 PVT , Windridge (Private Strip) , United States 
EJX,Mountain Hill Airport, United States 
 TRK , Truckee-Tahoe Airport , United States 
OJR,Mountain Harbor Airfield, Japan 
 PAYA , Yakutat , United States 
 MTC , Selfridge Air Nat'l Guard Base , United States 
 GRR , Gerald R. Ford International , United States 
XPK,Silver Harbor International, United States 
NFH,Silver Bay Municipal, Italy 
VIJ,Sky Point Airfield, Australia 
EEX,Oak Creek Regional, United States 
 LNA , PALM BEACH COUNTY PARK , United States 
 PVT , Goldsboro - private helipad , United States 
OSH,Clearwater Springs Airfield, United States 
 L35 , Big Bear City , United States 
 N25 , Westport Airport , United States 
PYE,Sky Springs International, United States 
GAF,Sunset Valley Municipal, United States 
UPB,Mountain Field Regional, United States 
YQN,Green Valley Regional, Australia 
 I80 , Noblesville , United States 
 3NO , North Omaha , United States 
 BFI , BOEING FIELD/KING COUNTY INTL , United States 
 ONT , Ontario , United States 
 N57 , New Garden Airport , United States 
 7V6 , CAMP GUERNSEY , United States 
PGU,Sky Harbor Airport, United States 
 SMQ , Somerset Airport , United States 
LUZ,Green Hill Airfield, United States 
SPX,Lake Hill Airfield, United States 
UDH,Sky Springs International, United States 
UMS,Oak Valley Regional, United States 
 NONE , Private , United States 
 MEV , Minden-Tahoe , United States 
ZZR,Oak Springs Airfield, United States 
NXW,Oak Valley Airport, United States 
 WV77 , Hinton-Alderson Airport , United States 
 7FA1 , Sugar Loaf Airport , United States 
 W28 , Sequim Valley Airport , United States 
GHG,Sunset Bluff Airport, United States 
 17U , Escalante Municipal Airport , United States 
 KEWN , Craven County Regional , United States 
 KDED , DeLand Municipal , United States 
 MYF , Montgomery Field , United States 
 MEV , Minden-Tahoe , United States 
ACD,Green Valley Airport, United States 
KLH, Agricultural airstrip , United States 
RXV,Sky Point Municipal, United States 
 66R ," Robert R. Wells, Jr. ", United States 
ODV,Redwood Bay Airport, Germany 
 TAD , PERRY STOKES , United States 
YJP,Mountain Heights Regional, United States 
 W00 , Freeway Airport , United States 
OTY,Mountain Creek Municipal, United States 
 RRL , Merrill Muni , United States 
UPS,River Heights International, Mexico 
 LA53 , Air Logistics Heliport , United States 
UAP,Clearwater Point Regional, United States 
 48V , Erie-Tri-County , United States 
 O61 , Cameron Airpark , United States 
 RIL , Rifle-Garfield County Regional , United States 
 DGW , Converse County Airport , United States 
 KWDR , Winder Barrow Airport , United States 
 CXO , Lone Star Executive Airport , United States 
 NONE , Collier Airstrip , United States 
 KFXE , Fort Lauderdale Executive , United States 
EXY,Clearwater Heights Municipal, United States 
 FMN , Four Corners Regional , United States 
VJZ,Mountain Valley Airfield, United States 
 F28 , El Reno Municipal Airpark , United States 
 8TS3 , Bruner Airport , United States 
YIH,Clearwater Bay International, United States 
 I62 , Brookville Air-Park , United States 
 HLG , Wheeling Ohio County Airport , United States 
 O26 , Lone Pine , United States 
RMU,Clearwater Bay Airfield, Chile 
MHW,Redwood Springs Airport, United States 
 KOBE , Okeechobee County Airport , United States 
 MKY , Marco Island Executive , United States 
 7F3 , Caddo Mills Municipal Airpo , United States 
 8NC8 , Lake Ridge Aero Park , United States 
YBK,Oak Field Municipal, United States 
IEO,Clearwater Bay Regional, United States 
 9N1 , Vansant Airport , United States 
DCF,Oak Springs Regional, United States 
 30F , Lakeview Airport , United States 
DEQ,Green Field Municipal, United States 
 3Y3 , WINTERSET-MADISON COUNTY , United States 
GPC," Cameron, LA (private helipad) ", United States 
 RHV , Reid Hill View Airport , United States 
 KLGC , LaGrange-Callaway , United States 
ZCN,Silver Springs Airport, United States 
XPQ,River Bluff Regional, United States 
AXK,Lake Harbor International, United States 
 CTB , CUT BANK MUNI , United States 
 IZG , Eastern Slopes Reg. Airport , United States 
CWE,Oak Bay Municipal, United States 
UNH,Lake Bluff International, United States 
 AR79 , Flying G Ranch Airport , United States 
 BOI , Boise Air Terminal , United States 
 ORD , CHICAGO O'HARE INTL , United States 
DKO,Sky Hill Municipal, United States 
JTA,Oak Creek International, United States 
 ONO , ONTARIO MUNI , United States 
 NONE ,Clearwater Bay International, United States 
 16AR , Heifer Creek Ranch Airport , United States 
WCQ,Clearwater Hill Airfield, United States 
DSC,Sky Springs Airport, United States 
 TKPN , Vance W. Amory , St Kitts And Nevis 
OPZ,River Valley Airport, United States 
 KATL , Hartsfield-Jackson Atlanta Int , United States 
PBZ,Redwood Springs Regional, United States 
 4O3 , Blackwell-Tonkawa Municipal , United States 
PTJ,Redwood Valley International, United States 
 1G4 , GRAND CANYON WEST , United States 
 NONE , Private , United States 
ECU,Silver Point Airport, United States 
 WHP , Whiteman , United States 
UGR,Sunset Springs Municipal, United States 
AAW,Oak Point Airfield, United States 
 O69 , Petaluma Municipal , United States 
CAN,Clearwater Valley Airport, United States 
 PDK , DeKalb Peachtree Airport , United States 
 AUN , Auburn , United States 
 BVY , Beverly Municipal Airport , United States 
VEF,Clearwater Bluff Regional, United States 
 7M6 , Paris-Subiaco Municipal Aprt. , United States 
 KAIY , Atlantic City Municipal Airpor , United States 
 APV , APPLE VALLEY , United States 
JHL,Oak Bay Airfield, United States 
 1F2 , Plateau Sky Ranch , United States 
 IEN , Pine Ridge Airport , United States 
 N05 , Hackettstown , United States 
 L71 , California City , United States 
 2A4 , VOR Lake Waterlane Seaplane , United States 
ECQ,Sky Bluff Regional, United States 
MTX,River Creek Airfield, United States 
 KAPF , Naples Municipal Airport , United States 
FSV,Sky Springs Airport, United States 
 AWO , Arlington Municipal , United States 
 AWO , Arlington Municipal , United States 
 4B6 , Ticonderoga Municipal , United States 
RDM,Lake Field Airport, United States 
 F89 , Winnsboro Municipal Airport , United States 
YLB,Redwood Point International, United States 
 84A , Mathis Field , United States 
 EEO , Meeker , United States 
 FMN , FOUR CORNERS REGIONAL , United States 
 2A0 , Mark Anton Airport , United States 
 RBW , Low Country Regional , United States 
 KAPF , Naples Municipal Airport , United States 
MGI,Redwood Springs Airport, United States 
 AWO , ARLINGTON MUNI , United States 
MHF,Lake Heights International, United States 
 PVG , Hampton Roads Executive Arpt , United States 
ANB,River Hill Airport, United States 
 MCW , Mason City Municipal , United States 
OGJ,Redwood Heights International, United States 
VTF,River Creek Municipal, United States 
NUR,Silver Field International, United States 
 U70 , CASCADE , United States 
MVD,Sky Springs Airport, United States 
WWJ,Sky Field Airfield, United States 
FEP,Clearwater Bluff Airport, United States 
LVQ,Sky Bay Airport, United States 
PHK,Sunset Heights Regional, United States 
 AFN , Jaffery Airport , United States 
YTO,Silver Valley Regional, United States 
RKT,Green Bluff International, United States 
 49X , Chemehuevi Valley , United States 
VFL, N/A , United States 
MDD,River Field Municipal, Greenland 
 I69 , Clermont County , United States 
GBX,Green Point Airfield, United States 
 KSUN , Friedman Memorial , United States 
 MKE , GENERAL MITCHELL INTERNATIONAL , United States 
KHM,Sky Heights International, Netherlands 
UDY,Oak Field Regional, United States 
ETV,Lake Valley Regional, United States 
FNP,Lake Springs International, United States 
 BCV , Birchwood , United States 
QOY,Sunset Field Municipal, United States 
 HIO , Portland-Hillsboro , United States 
LUT,Sunset Creek Airfield, United States 
OCM,River Bay Airport, United States 
 PVT , Sapphire Lake , United States 
 LHX , LA JUNTA MUNI , United States 
HAS,Green Bluff Airport, United Kingdom 
PVQ,Green Point Municipal, United States 
 12N , Aeroflex-Andover Airport , United States 
 KROS , Rush City Regional , United States 
 3T0 , Cedar Mills Airport , United States 
 FWS , Fort Worth Spinks Airport , United States 
MRQ,Lake Point Airport, United States 
 60M , Spencer Airport , United States 
 N47 , Pottstown Municipal , United States 
 N38 , Grand Canyon Airport , United States 
 20WA , Skatter Creek Airport , United States 
WQP,Clearwater Bluff Airport, United States 
 0NY0 , Bennetta Airport , United States 
 CYS , Cheyenne , United States 
WTL,Clearwater Valley Airfield, Panama 
 9A4 , Lawrence County Airport , United States 
NHB,Mountain Harbor Regional, United States 
 PWM , Portland International Jetport , United States 
 NONE , Haines Airstrip , United States 
 HOT , Hot Springs/Memorial Field , United States 
 MGW , Morgantown Municipal Airport , United States 
DCB,Sunset Point Regional, United States 
 MFD , Mansfield Lahm Regional , United States 
 KSDL , Scottsdale , United States 
 KINT , Smith Reynolds , United States 
 X60 , Williston Municipal , United States 
YDU,Oak Bay International, United States 
 W29 , Bay Bridge Airport , United States 
YZI,Redwood Hill Airport, United States 
 GRB , AUSTIN STRAUBEL INTERNATIONAL , United States 
 LGC , CALLAWAY , United States 
 MHT , Manchester , United States 
 MHT , Manchester , United States 
 NONE ,Silver Bay International, United States 
WAM, Beluga Lake , United States 
 1H6 , Harvey Young Airport , United States 
 U56 , RIGBY-JEFFERSON COUNTY , United States 
 TVI , THOMASVILLE MUNI , United States 
 KCGZ , Casa Grande , United States 
XWE,Silver Bay Airport, China 
VYY,Silver Bay Regional, United States 
QWM,Silver Bay Municipal, United States 
GKW,Lake Valley Municipal, United States 
 KHSA , Stennis International Airport , United States 
 3B9 , Chester Airport , United States 
OOZ,Sunset Bay Municipal, United Kingdom 
 UMP , Indianapolis Metropolitan , United States 
 GEU , Glendale Municipal Airport , United States 
 KHYX , Saginaw H W Browne , United States 
YAK, Dirt Landing Zone , United States 
LEY,Lake Field Airport, United States 
TAM,Mountain Heights Municipal, United States 
UUE,Redwood Bay Airport, United States 
HFA,Clearwater Creek International, United States 
 MLS , Frank Wiley Field , United States 
 SOW , Show Low , United States 
 KBZN , Gallatin Field , United States 
PGN,Clearwater Field International, United States 
 FFZ , Falcon Field Airport , United States 
JAZ,River Bluff Airport, United States 
 SSF , Stinson Municipal Airport , United States 
SQJ,Oak Hill Municipal, United States 
VJE,Clearwater Harbor Airport, United States 
GZL,Green Valley International, Austria 
IJH,Sky Field Airfield, United States 
GGX,Green Valley Municipal, United States 
 SGH , Springfield-Beckley , United States 
 NV23 , Air Sailing Gliderport , United States 
ITO,Lake Point Airport, United States 
 HCD , Hutchinson Municipal Airport , United States 
NOM,River Creek Airfield, United States 
LIJ,Oak Valley Municipal, United States 
 FXE , FORT LAUDERDALE EXECUTIVE , United States 
 KDEW , Deer Park , United States 
RNZ,River Hill Airfield, United States 
 36U , Heber City Municipal , United States 
 JHW , Jamestown , United States 
ITE,Lake Valley Municipal, United States 
 NE38 , Aknux , United States 
ZRX,Oak Field Municipal, United States 
 KHFD , Hartford-Brainard Airport , United States 
 6S2 , FLORENCE MUNI , United States 
FTQ,River Point Regional, Colombia 
OPK,Lake Heights Municipal, Indonesia 
YKA, Mosbach-Lohrbach , Germany 
 PVT , Norton Field , United States 
 PVT , Hunter Field , United States 
 CUL , Carmi Muni , United States 
 MVN , Mount Vernon , United States 
 EVB , New Smyrna Beach , United States 
 4W0 , Bandera State , United States 
 WN76 , BERGSETH FIELD , United States 
 MRI , MERRILL FIELD , United States 
ZSV,Clearwater Harbor Airfield, United States 
 49A , Ellijay Glimer County , United States 
 LHM , Lincoln Regional Airport/Karl , United States 
 RYY , Cobb County McCullom Field , United States 
 D95 , DuPont - Lapeer Airport , United States 
 NONE , Schrack Farms , United States 
 5B3 , Danielson , United States 
CAU,Clearwater Bay Regional, United States 
VPU,Green Springs Regional, Netherlands Antilles 
HBF,Green Hill Regional, United States 
NQK,Mountain Springs International, United States 
 CA51 , The Sea Ranch Airport , United States 
 3S2 , AURORA STATE , United States 
ASB,Oak Creek Airport, United States 
FIO,Silver Heights Regional, United States 
 KTKI , Collin County Regional Airport , United States 
EMD,Redwood Field Airport, United States 
 GBD , Great Bend Muni , United States 
KPR,Green Hill Airfield, United States 
 S07 , Bend Municipal , United States 
 O04 ," Carson City, Nevada ", United States 
HFJ,Oak Springs International, United States 
NHL,Sunset Valley International, United States 
LKF, Rush Springs Airstrip , United States 
 UGN , Waukegan Regional , United States 
 PVG , Hampton Roads Executive , United States 
PNF,Green Springs Airport, Bolivia 
