RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,passenger_seats,AirportCode
 N26AV ,Airplane, Smuz , RAF 2000 GTX SE , Yes ,1, Reciprocating ,169, 1S0 
N1260F,Airplane, Boeing , 737-200 ,No,2,Reciprocating,221,TPH
 N5204K , Airplane , Cessna , 172N , No ,1, Reciprocating ,393, IDA 
 N472RA ,Airplane, Cessna , 172M , No ,1, Reciprocating ,199,UOA
 N9118F ,Airplane, Hughes , 369HS , No ,1, Turbo Shaft ,397,DXQ
 N977BE ,Airplane, Maule , M-7-260 , No ,1, Reciprocating ,249,UGG
 N618MN ,Airplane, Cessna , 172N , No ,1, Reciprocating ,194, FNL 
 N521JD , Airplane , Cessna , 172S , No ,1, Reciprocating ,231, 3O8 
N4862Y,Airplane, Piper , PA-34-200T , No ,2,Reciprocating,253,ZVK
 N370V , Airplane , Bombardier , CL-600-1A11 , No ,2, Turbo Fan ,397, KTEB 
N1957K,Airplane, McDonnell Douglas , MD-82 , No ,2,Reciprocating,233,GVH
 C-GVVS ,Airplane, Cessna , T210M , No ,1, Reciprocating ,219,XQA
 N59MB , Helicopter , Bell , 206B , No ,1, Turbo Shaft ,253, LNS 
 N9515B , Airplane , Cessna , 172RG , No ,1, Reciprocating ,251,KXU
 N9572U , Airplane , Grumman American , AA-5A , No ,1, Reciprocating ,326, OCF 
 N2882A ,Airplane, Cessna ,180, No ,1, Reciprocating ,326, NONE 
N8176C,Airplane, Cessna , 208B , No ,2,Reciprocating,257,GKD
 N1164U ,Airplane, Cessna , T210N , No ,1, Reciprocating ,165,USQ
 N350SW ,Airplane, Boeing , 737-3H4 , No ,2, Turbo Fan ,399, KSEA 
 N3069E ,Airplane, Aeronca , S7CCM , No ,1, Reciprocating ,321, NONE 
 N9003M , Airplane , Cessna , 182P , No ,1, Reciprocating ,305, RNO 
 N53719 ,Airplane, Bellanca , 7GCBC , No ,1, Reciprocating ,213, OG21 
 N9688F , Helicopter , Hughes , 269C , No ,1, Reciprocating ,359, APA 
 N351LG , Helicopter , Eurocopter , AS 350 B3 , No ,1, Turbo Shaft ,225,UQF
 N3138L , Airplane , Cessna , 310-J , No ,2, Reciprocating ,313, 8F3 
 N911AE ,Airplane, Learjet , 35A , No ,2, Turbo Fan ,298, MKC 
 N7535Z , Helicopter , Robinson , R22 , No ,1, Reciprocating ,164, CHD 
 N7337S ,Airplane, Cessna , 182P , No ,1, Reciprocating ,216,EVD
 N201EH ,Airplane, de Havilland , DHC-6-200 , No ,2, Turbo Prop ,231, OOK 
 N8205U , Airplane , Cessna , 172F , No ,1, Reciprocating ,191, ILL 
 N182CR , Airplane , Cessna , 182S , No ,1, Reciprocating ,172, KPGD 
 N222V ,Airplane, Beech , P35 , No ,1, Reciprocating ,330, UKI 
 N808MC , Airplane , BOEING , B-747-200 ,No,2,Reciprocating,197,JHK
 N8134B , Airplane , Cessna ,172, No ,1, Reciprocating ,157, ASL 
 N9866M , Airplane , Maule , M-4-210C , No ,1, Reciprocating ,313, MLC 
 N6745Z ,Airplane, Piper , PA-25-235 , No ,1, Reciprocating ,211, 46CN 
N5936D,Airplane, Bell , 206L3 , No ,2,Reciprocating,177,CJQ
 N1750A ,Airplane, Beech , BE-36 , No ,1, Reciprocating ,297, BWD 
 N5417H , Airplane , Piper , PA-19 , No ,1, Reciprocating ,237,IXZ
 N832TC , Airplane , Cessna ,182, No ,1, Reciprocating ,281, RPH 
 XB-JGI , Airplane , Sabreliner Corp. ,40, No ,2, Turbo Jet ,285, SAT 
 N121HS , Airplane , Lee Harold Swarthout , Velocity XLRG , Yes ,1, Reciprocating ,236, 7FL6 
 N142MK ,Airplane, MDHI , 369E , No ,1, Turbo Shaft ,273,HEX
 N844JK ,Airplane, Cessna , 421C Riley Turbine E , No ,2, Turbo Prop ,271,HPW
 N1535A ,Airplane, Piper , PA-20 , No ,1, Reciprocating ,179, LWS 
N0145R,Airplane, Cessna , 208B , No ,2,Reciprocating,252,OJW
 N6057M ,Airplane, Cirrus , SR22 , No ,1, Reciprocating ,160,HGR
 N399RH ,Airplane, Beech , J-35 , No ,1, Reciprocating ,178, F83 
 N8203U ,Airplane, Cessna , 172F , No ,1, Reciprocating ,224,EEW
 N2144C ,Airplane, Piper , PA-32RT-300 , No ,1, Reciprocating ,319,DRG
 N9452N ,Airplane, Cessna ,185, No ,1, Reciprocating ,153,OCQ
 N8040T ,Airplane, Bell , 206B , No ,1, Turbo Shaft ,371, DWH 
 N5DS ,Airplane, Cessna ,414, No ,2, Reciprocating ,202, CAK 
 N174DN ,Airplane, Boeing , B-767-332 , No ,2,Reciprocating,281,MLH
 N74RQ , Airplane , Grumman , G-1159 , No ,2, Turbo Jet ,156, LGU 
 N2855F , Airplane , Cessna , 182J , No ,1, Reciprocating ,210,CPE
 N421HG , Airplane , Cessna , 421C , No ,2, Reciprocating ,214,LRY
 N26498 , Helicopter , Robinson , R22 , No ,1, Reciprocating ,349, KGPT 
 N2157H ,Airplane, Cessna , 172SP , No ,1, Reciprocating ,335, CGZ 
 N296RL ,Airplane, Schweizer , 269D , No ,1, Turbo Shaft ,220, SSF 
 N49J ,Airplane, Aero Commander , AC200D (Meyers) , No ,1, Reciprocating ,391,JYG
 66-8003 ,Airplane, Cessna , T-37B , No ,2, Turbo Jet ,176,GCP
 N8526M ,Airplane, Air Tractor , AT-502B , No ,1, Turbo Prop ,381,TMV
 N7478S ,Airplane," Aerostar, S.A ",600, No ,2, Reciprocating ,381,APS
N0981Y,Airplane, Rotorway , Exec 162 , No ,2,Reciprocating,267,NIN
 N373DL ,Airplane, Boeing , 737-247 , No ,2, Turbo Fan ,167, CVG 
 N9JY ,Airplane, Beech , C-23 , No ,1, Reciprocating ,241,PHE
 N3085Q ,Airplane, Ghiles , MCR-01 VLA , Yes ,1, Reciprocating ,393, LUK 
 N24218 , Airplane , Cessna ,152, No ,1, Reciprocating ,224, KBNA 
 N1122R , Helicopter , Robinson , R22B , No ,1, Reciprocating ,351, L67 
 N654PJ ,Airplane, Paul Pajak , RV-6A , Yes ,1, Reciprocating ,194, SFB 
 N22562 ,Airplane, Cessna , 150H , No ,1, Reciprocating ,316,XUC
 None ,Airplane, SlipStream , Revelation , Yes ,1, Reciprocating ,194, CMA 
 N889JB ,Airplane, Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,394,IHZ
 N761YH ,Airplane, Cessna , T210M , No ,1, Reciprocating ,156, FFZ 
 N42WA ,Airplane, Cessna , T337G , No ,2, Reciprocating ,389, KLAL 
 N8313Q ,Airplane, Cessna , U206F , No ,1, Reciprocating ,342, 2WA3 
 N7912R , Airplane , BEECH , 95-B55 , No ,2, Reciprocating ,235, PTN 
 N5177V ,Airplane, Cessna , T210L , No ,1, Reciprocating ,324, O52 
 N222JN ,Airplane, Nolen , Lite Squared , Yes ,1, Reciprocating ,355,HAF
 N714UV , Airplane , Cessna ,152, No ,1, Reciprocating ,202, MO3 
 N49BA ,Airplane, Embraer , EMB-110P1 , No ,2, Turbo Prop ,230, EEN 
 N124JH ,Airplane, Jimmy Hill , Lancair 235 , Yes ,1, Reciprocating ,365, KSEE 
 N500KW ,Airplane, Piper , PA-23-250 , No ,2, Reciprocating ,312,YAO
 N350CS ,Airplane, Beech , B300 , No ,2, Turbo Prop ,353, KCRG 
 N90772 ,Airplane, Air Tractor , AT-402A , No ,1, Turbo Prop ,243, 83GA 
 N427KP , Airplane , Piper , PA-32R-300 , No ,1, Reciprocating ,236, UBE 
 N41WE ,Airplane, Beech , BE-90 , No ,2, Turbo Prop ,378, RWL 
 N9336H ,Airplane, Cessna , 172M , No ,1, Reciprocating ,279,KXB
 N2467X ,Airplane, Cessna , T206H , No ,1, Reciprocating ,276, KHSV 
 N982KF ,Airplane, Myers , Kit Fox Series VI , Yes ,1, Reciprocating ,398, 95F 
 N7654Y ,Airplane, Piper , PA-30 , No ,2, Reciprocating ,315, CHS 
 N45173 ,Airplane, Cessna , 150M , No ,1, Reciprocating ,286, COM 
 N1266T ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,259, LEE 
 N136LN ,Airplane, Eurocopter Deutschland , EC 135 P2 , No ,2, Turbo Shaft ,393,QTU
 N6150S ,Airplane, Cessna , TR182 , No ,1, Reciprocating ,284, LIT 
 N9474E ,Airplane, Cessna , 182R , No ,1, Reciprocating ,307, KMLU 
N2946Y,Airplane, Sikorsky , S76C , No ,2,Reciprocating,283,QGM
 N8609X , Airplane , Cessna ,180, No ,1, Reciprocating ,256, BIL 
 N7547Y ,Airplane, Piper , PA-30 , No ,2, Reciprocating ,272, MIV 
 N194JA , Airplane , Cessna , 414A , No ,2, Reciprocating ,267, MGN 
 N233CR , Airplane , Reinhart , GP-4 , Yes ,1, Reciprocating ,374, 50F 
 N8351W , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,253, RYN 
N6918C,Airplane, Schweizer ,269, No ,2,Reciprocating,306,SEB
 N51256 ,Airplane, Cessna , 150J , No ,1, Reciprocating ,328, AVQ 
 N501B ,Airplane, Beech ,35, No ,1, Reciprocating ,330, TN98 
 N16732 ,Airplane, Boeing , 737-724 , No ,2, Turbo Fan ,331, GUC 
 N440VC ,Airplane, Piper , PA-31-310 , No ,2, Reciprocating ,153,RTB
 N340CS ,Airplane, Cessna ,340, No ,2, Reciprocating ,306, 18AZ 
 N9419C ,Airplane, Piper , PA-28-161 , No ,1, Reciprocating ,182, LUD 
 N2823H ,Airplane, Piper , PA-28-181 , No ,1, Reciprocating ,315, KGRD 
 N151MM , Airplane , Piper , PA-28-151 , No ,1, Reciprocating ,317, RYN 
 N8566E , Airplane , Champion , 7FC , No ,1, Reciprocating ,238, 3GA8 
 N111FA ,Airplane, Gulfstream American , G-1159A , No ,2, Turbo Jet ,219, APA 
N8909Q,Airplane, Air Tractor , AT802A , No ,2,Reciprocating,360,BYQ
 N64BV ,Airplane, Vail , Lancair 235 , Yes ,1, Reciprocating ,316,POP
 N364BW ,Airplane, Piper , PA-32-300 , No ,1, Reciprocating ,315,EZZ
 N350RM , Helicopter , Aerospatiale , AS350-D , No ,1, Turbo Shaft ,275,LQK
 N6133U , Airplane ," Stanley, Davey L ", Pulsar III , Yes ,1, Reciprocating ,274, 60J 
 N187AP ,Airplane, Canadair , CL-600 , No ,2,Reciprocating,200,PNS
 N17HF ,Airplane, Aero Commander , 690A , No ,2, Turbo Prop ,209, CGF 
 N365SP , Airplane , Cessna , 172SP , No ,1, Reciprocating ,202, K2IS 
 N202UX ,Airplane, Beech , 1900D , No ,2, Turbo Prop ,303, DEN 
 N135NW , Helicopter , Eurocopter France , EC135T1 ,No,2, Turbo Shaft ,208,RCX
 N441CX , Airplane , Cessna ,441, No ,2, Turbo Prop ,342, TRM 
 N310RA , Airplane , Cessna , 310J , No ,1, Reciprocating ,161, 68S 
 N4165P ,Airplane, Piper , PA-46-350P , No ,1, Reciprocating ,292, PAO 
 N35403 ,Airplane, Cessna ,551, No ,2, Turbo Fan ,381, ANW 
 N4262D ,Airplane, Maule , M-7 , No ,1, Reciprocating ,198,DXZ
 N333EG ,Airplane, Beech , G35 , No ,1, Reciprocating ,206, 5B6 
 N7180Q ,Airplane, Cessna , 172L , No ,1, Reciprocating ,177, POU 
 N8141T ,Airplane, Cessna , 175B , No ,1, Reciprocating ,284,ASG
 N6195N ,Airplane, Cessna , 210N , No ,1, Reciprocating ,191,XYC
 N321EZ ,Airplane, Orr , Long-Ez , Yes ,1, Reciprocating ,180,ILI
 N6225E ,Airplane, Cessna ,172, No ,1, Reciprocating ,203,XTD
N3484G,Airplane, Robinson Helicopters , R44 , No ,2,Reciprocating,309,PYA
 N737AZ ,Airplane, Cessna , 172N , No ,1, Reciprocating ,150, 4I9 
 N9962F ,Airplane, Cessna , 172R , No ,1, Reciprocating ,235, S37 
 N410JC ,Airplane, Eurocopter France , AS350BA , No ,1, Turbo Shaft ,327,GEM
 N601DF ,Airplane, Aerostar ,601, No ,2, Reciprocating ,378, 6S5 
 N175BM , Helicopter , Enstrom , 280C , No ,1, Reciprocating ,181, 7N7 
 N300WE , Airplane , Piper , PA-32RT-300 , No ,1, Reciprocating ,282, NYO 
 N9588S , Airplane , Champion , 7-GCAA , No ,1, Reciprocating ,260,QLL
 N506MJ ,Airplane, Bombardier , CL-600-2C10 , No ,1, Turbo Fan ,293, AUS 
 N858FT ,Airplane, Boeing , 747-123 , No ,4, Turbo Fan ,390, PANC 
 N920GL ,Airplane, Beech , A36 , No ,1, Reciprocating ,324,GLK
 N118FR , Airplane , Cessna , 172P , No ,1, Reciprocating ,275, DWH 
 N573B , Airplane , Piper , PA-31P , No ,2, Reciprocating ,345, GUP 
 N313AL ,Airplane, Robinson , R-44 II , No ,2,Reciprocating,152,XKE
 N860R ,Airplane, Beech , BE35 , No ,1, Reciprocating ,174, BRO 
 N5398M ,Airplane, Piper , PA-23-250 , No ,2, Reciprocating ,373, IWD 
 N849SP ,Airplane, Cessna , 172S , No ,1, Reciprocating ,150, ROW 
 N2536Q ,Airplane, Cessna , 182K , No ,1, Reciprocating ,232, KOLM 
 None , Ultralight , Top Dog , Trike , Yes ,1, Reciprocating ,273,WRY
 N5631K ,Airplane, Beech , S35 , No ,1, Reciprocating ,213,AAE
 N7857Z ,Airplane, Cessna , 150C , No ,1, Reciprocating ,156, 1N2 
N9999B,Airplane, Robinson , R44 , No ,2,Reciprocating,342,ERT
N0948A,Airplane, Beech , 65-90 , No ,2,Reciprocating,184,QOA
 N9909Z , Airplane , Cessna , U206G , No ,1, Reciprocating ,337, ILI 
 N2751Z ,Airplane, Schweizer , SGS 1-26B , No ,0,Reciprocating,204, KHDH 
 N28525 , Airplane , Fairchild , 24W-41A , No ,1, Reciprocating ,348, EAT 
 N1JM ,Airplane, Cessna , 177RG , No ,1, Reciprocating ,371, KDVT 
 N5550Q ,Airplane, Mooney , M20E , No ,1, Reciprocating ,282, TEX 
 N714KL ,Airplane, Piper , PA-46-350P , No ,1, Reciprocating ,180, HFD 
 N7858B , Airplane , Beech , 58TC , No ,2, Reciprocating ,260, PAE 
 D-MAFL , Airplane , Flight Design , CT-2K , No ,1, Reciprocating ,285, W13 
 N369RK ,Airplane, Cessna , 421C , No ,2, Reciprocating ,211, F12 
 N2898D ,Airplane, Christen Industries , A-1 , No ,1, Reciprocating ,391,QGZ
 N252BK ,Airplane, Learjet , 25B , No ,2, Turbo Jet ,287, CID 
 N402A ,Airplane, McDonnell Douglas , MD-82 , No ,2, Turbo Fan ,274, PVD 
 N993RW ,Airplane, Robinson , R22 , No ,1, Reciprocating ,392,QHX
 N9187G ,Airplane, Cessna , 182P , No ,1, Reciprocating ,155, FUL 
 N992RS ,Airplane, American Champion Aircraft , 8KCAB , No ,1, Reciprocating ,357,ZUS
 N204X , Airplane , Daniels , Vans RV-8 , Yes ,1, Reciprocating ,257, AEG 
 N32034 ,Airplane, Piper , PA-28-180 , No ,1, Reciprocating ,247, 0L7 
 N60CF , Airplane ," Smith, Ted Aerostar ", 601P , No ,2, Reciprocating ,268,WGD
 N55EP ,Airplane, Raytheon Aircraft Company , C90A , No ,2, Turbo Prop ,361, SLC 
 N78AT ,Airplane, Arctic Aircraft Company Inc , S-1B2 , No ,1, Reciprocating ,172, SBS 
 N826JB , Airplane , Breit , Zodiac (CH-601-HDS) , Yes ,1, Reciprocating ,267, PAE 
 N417CW , Airplane , Raytheon Corporate Jets , 400A , No ,2, Turbo Fan ,270, CGF 
 N976AA ,Airplane, Bell ,407, No ,1, Turbo Shaft ,152,XNM
 N375LP ,Airplane, Cessna , 172S , No ,1, Reciprocating ,240, KLAL 
 N765MM ,Airplane, Akers Douglas , RA40 Defiant , Yes ,2, Reciprocating ,188,TXB
 N421FR ,Airplane, Cessna ,421, No ,2, Reciprocating ,367, APA 
 N285AM ,Airplane, Aircraft Mfg & Dev. Co. (AMD) , CH-2000 , No ,1, Reciprocating ,326, 0L7 
 N207TP , Airplane , Ohlemeier/Stratton , RV-7A , Yes ,1, Reciprocating ,390, 3T0 
 N496K , Airplane , Cessna , U206G , No ,1, Reciprocating ,223, 16A 
 N51AG ,Airplane, Bell , UH-1H , No ,2,Reciprocating,270,HRQ
 N748CC , Airplane , Short Brothers , SD3-60 , No ,2,Reciprocating,354,PWY
 N333UH ,Airplane, Robinson , R22 , No ,1, Reciprocating ,277,SWR
 N792FC ,Airplane, Piper , PA-31-350 , No ,2, Reciprocating ,331, PAIM 
 N801FS ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,218,VLN
 N922RG ,Airplane, Pilatus , PC-12/45 , No ,1, Turbo Prop ,229, SBN 
 N971AE ,Airplane, Eurocopter , AS-350-B3 , No ,1, Turbo Shaft ,368,CMC
 N4873C ,Airplane, Cessna , T210N , No ,1, Reciprocating ,391, L31 
N7611V,Airplane, Boeing , 747-200 , No ,2,Reciprocating,271,CBJ
N3077W,Airplane, Aero Commander , AC-685 , No ,2,Reciprocating,194,COK
 N95JD , Airplane , Classic Aircraft Corp. , Waco YMF , No ,1, Reciprocating ,172, SBA 
 N523MC ,Airplane, Boeing ,747, No ,2,Reciprocating,313,FNB
 N23375 ,Airplane, Piper , J3C-65 , No ,1, Reciprocating ,253,GCS
 N222CE ,Airplane, Crosley , Christen Eagle II , Yes ,1, Reciprocating ,304, O36 
 N130JS ,Airplane, Schweizer , 269C , No ,1, Reciprocating ,230,AON
 N145RJ ,Airplane, Robinson , R22B , No ,1, Reciprocating ,233,ECR
 N648KA ,Airplane, Beech , BE-200 , No ,2, Turbo Prop ,219, TS94 
 N538EA ,Airplane, Mitsubishi , MU-2B-60 , No ,2, Turbo Prop ,396, APA 
N4779N,Airplane, Beech , BE-36-TC , No ,2,Reciprocating,155,VPQ
 N6563N , Airplane , Bellanca , 14-19 , No ,1, Reciprocating ,193,HPV
 N5007F , Helicopter , Bell , B206L-1 , No ,1, Turbo Shaft ,259,EDQ
 N3208F ,Airplane, Mooney , M20F , No ,1, Reciprocating ,248,DCM
 N587C ,Airplane, Piper , PA-32R-301T , No ,1, Reciprocating ,256, GHW 
 N42SE ,Airplane, Diamond Aircraft , DA40-180 , No ,1, Reciprocating ,206,BXM
 N7148Z ,Airplane, Hughes , 369D , No ,1, Turbo Shaft ,373,CMT
 N1783U ,Airplane, Cessna , T207A , No ,1, Reciprocating ,279,NHM
 N19LC ,Airplane, Day , VP-2 , Yes ,1, Reciprocating ,394, NONE 
 N6PE ,Airplane, Beech , B200 , No ,2, Turbo Prop ,193, TUL 
 N42HA ,Airplane, Hare , Seawind , Yes ,1, Turbo Prop ,393, TTN 
 N140ND , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,325, HJR 
 N60469 , Airplane , Cessna , 150J , No ,1, Reciprocating ,312, NONE 
N7353W,Airplane, Cessna , TU206G , No ,2,Reciprocating,232,FHI
 N592DM ,Airplane, Cessna , T310R , No ,2, Reciprocating ,192,RSS
 N54316 ,Airplane, Piper , PA-31-350 , No ,2, Reciprocating ,201, DAY 
 N141SW , Airplane , Beech , A45 , No ,1, Reciprocating ,331,MYW
 N25SA ,Airplane, Cessna , 208B , No ,1, Turbo Prop ,364, SUN 
 N3571V ,Airplane, Cessna ,140, No ,1, Reciprocating ,212, S44 
 N478GS ,Airplane, Gulfstream Aerospace , G-IV , No ,2,Reciprocating,203,HUL
 N294PA ,Airplane, Piper , PA-28-181 , No ,1, Reciprocating ,153, KFPR 
 N283PA ,Airplane, Piper , PA-28R-201 , No ,1, Reciprocating ,345, KFPR 
 N82TN ,Airplane, Dassault-Breguet , Falcon 20 , No ,2, Turbo Fan ,378, PBF 
 N532PC ,Airplane, Cessna , 185F , No ,1, Reciprocating ,307, KRNT 
 JA8158 ,Airplane, Boeing , 747SR-146B SF , No ,4, Turbo Fan ,319,QXZ
 N4750L ,Airplane, Piper , PA-28-180 , No ,1, Reciprocating ,374, HDC 
 N7391U ,Airplane, Fairchild-Heliporter , Pilatus PC6/B2-H2 , No ,1, Turbo Prop ,222, 17N 
 N1159C ,Airplane, Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,308, BZN 
 N420CD ,Airplane, Maule , MX-7-235 , No ,1, Reciprocating ,202,YDP
 N55250 ,Airplane, Cessna , 172P , No ,1, Reciprocating ,307, APA 
 N7803Y , Airplane , Piper , PA-30 , No ,1, Reciprocating ,376,RUP
 N253FD , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,247, SMO 
 N3570J , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,381, M41 
 None , Ultralight , Goiden Circle , T-Bird , No ,1, Reciprocating ,180,OWS
 N161FL ,Airplane, Convair ,580, No ,2, Turbo Prop ,236, MFE 
 N41626 ,Airplane, Convair Div. of Gen. Dynamics ,340, No ,2, Reciprocating ,246, KOPF 
 N21213 , Airplane , Cessna , 182P , No ,1, Reciprocating ,390, EFC 
 None ,Airplane, Close , Air Command , Yes ,1, Reciprocating ,315,FXP
 N2EQ ,Airplane, Cessna ,414, No ,2, Reciprocating ,351, PTB 
 N421SD ,Airplane, Cessna , 421B , No ,2, Reciprocating ,262,YTT
 N7510W ,Airplane, Piper , PA-28-180 , No ,1, Reciprocating ,376, 2R4 
 G-GMAC ,Airplane, Gulfstream Aerospace , G-IV , No ,2, Turbo Fan ,342, TEB 
 N7706P ,Airplane, Piper , PA-24-250 , No ,1, Reciprocating ,279, 0TX1 
N3108T,Airplane, Cessna , 560XL , No ,2,Reciprocating,162,UNF
 N734 ,Airplane, Piper , PA-18-150 , No ,1, Reciprocating ,242,AKU
 N6300P ,Airplane, Cessna , P210N , No ,1,Reciprocating,259,CZE
 N3575X , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,221,ICD
N6459O,Airplane, McDonnell Douglas , MD-82 , No ,2,Reciprocating,315,WXP
 N941MA ,Airplane, Mitsubishi , MU-2B-60 , No ,2, Turbo Prop ,400, PHL 
 N604GA ,Airplane, Hamburger Flugzeugbau (HFB) , HFB 320 Hansa , No ,2, Turbo Jet ,313, SUS 
N9086A,Airplane, Piper , PA-34-200T , No ,2,Reciprocating,174,XCQ
 N420QS ,Airplane, Gulfstream Aerospace , G-IV , No ,2, Turbo Fan ,186, EGE 
 N15037 ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,308, 1N9 
 N78402 ,Airplane, Cessna , 172K , No ,1, Reciprocating ,233, MQY 
 N995CW , Airplane , Embraer , EMB-135BJ , No ,2, Turbo Fan ,342, CLE 
 N873G ,Airplane, Canadair , CL-600-2A12 , No ,2, Turbo Fan ,157, MTJ 
 N4913Z ,Airplane, Piper , PA-22-108 , No ,1, Reciprocating ,230,XZN
 N2663L ,Airplane, Cessna , 172H , No ,1, Reciprocating ,173,VPS
 N1DZ ,Airplane, Cessna , 182E , No ,1, Reciprocating ,223, 4B1 
 N4029Q ,Airplane, Robinson , R22 Beta , No ,1, Reciprocating ,265,UBY
N6198N,Airplane, Robinson , R22B , No ,2,Reciprocating,240,AYY
 N124KF ,Airplane, Chumsae , Kitfox Speedster , Yes ,1, Reciprocating ,393, 3B3 
 N960BW ,Airplane, CASA , 212-200-CC , No ,2, Turbo Prop ,247,AZY
N3021X,Airplane, Beech , E33 , No ,2,Reciprocating,192,ATS
 N2201 , Airplane , Mooney , M20J , No ,1, Reciprocating ,164, SVH 
 N33061 , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,188, 94VA 
 N720GP , Airplane , Piper , PA 28-181 , No ,1, Reciprocating ,160, THV 
 N195DD ,Airplane, Cessna ,195, No ,1, Reciprocating ,338,YWW
 N234BW ,Airplane, Wingo , Long-Ez , Yes ,1, Reciprocating ,211,TZS
 N747JU ,Airplane, Cessna ,411, No ,2, Reciprocating ,325, KAJO 
 N191AS , Airplane , Spaulding , Tailwind W-8 , Yes ,1, Reciprocating ,301,EIH
 N9827D ,Airplane, Piper , PA-22-160 , No ,1, Reciprocating ,263, PRC 
 N310DM ,Airplane, Cessna , 310R , No ,2, Reciprocating ,332, JYO 
 N6932S ,Airplane, Cessna , 150H , No ,1, Reciprocating ,382, H49 
 N44263 ,Airplane, Taylorcraft , BC12-D , No ,1, Reciprocating ,327,WHK
 N85VT ,Airplane, Gulfstream Aerospace , G-III , No ,2, Turbo Fan ,274, KHOU 
 N45012 ,Airplane, Schweizer , 269C , No ,1, Reciprocating ,256, L67 
 N5294W ,Airplane, Cessna , 172R , No ,1, Reciprocating ,173, MRB 
 None ,Airplane, Trikes , GTE 503 SL , No ,1, Reciprocating ,180,LRD
 NONE ,Airplane, Unknown , Sky Raider , Yes ,1, Reciprocating ,252,VZX
 N9235 , Helicopter , Enstrom , F-28A , No ,1, Reciprocating ,298, KMQY 
 N478SX , Airplane , Olson , Sonex , Yes ,1, Reciprocating ,205,HRS
 N7493X , Airplane , Cessna , 172B , No ,1, Reciprocating ,264,FDB
 N9327B , Gyrocraft , Vigneau , RAF 2000 GTX , Yes ,1, Reciprocating ,181, CQX 
 N967SA , Airplane , Cessna , 172S , No ,1, Reciprocating ,385, AID 
N4916A,Airplane, Bombardier , CRJ-200 , No ,2,Reciprocating,396,PSP
 N234AA ,Airplane, McDonnell Douglas , DC-9-82 , No ,2, Turbo Fan ,234, DEN 
 N3750S ,Airplane, Cessna , 172E , No ,1, Reciprocating ,324,DPD
 N41MF ,Airplane, Farrell , Lancair LC3 , Yes ,1, Reciprocating ,210, LRU 
 N1049C ,Airplane, Beech ,99, No ,2, Turbo Prop ,321, PHX 
 N38047 , Airplane , Beech , A36TC , No ,1, Reciprocating ,244, KHSV 
 N2120M , Airplane , Cessna , 172S , No ,1, Reciprocating ,198, 1B9 
 N737CR , Airplane , Cessna , 172N , No ,1, Reciprocating ,181,YZH
 N9644G ,Airplane, Cessna , U206F , No ,1, Reciprocating ,159, PABE 
 NONE ,Airplane," Golden Circle Air, Inc. ", T-Bird II , Yes ,1, Reciprocating ,200,HBY
N8501I,Airplane, British Aerospace ,3101, No ,2,Reciprocating,340,KGN
 N756KQ , Airplane , Cessna , TR182 , No ,1, Reciprocating ,219, KVKS 
 N55510 , Airplane , SOCATA , TB 21-TC , No ,1, Reciprocating ,391, BGM 
 N595H , Helicopter , Enstrom , F-28C , No ,1, Reciprocating ,391,BHU
 N133JW ,Airplane, Cessna , 337B , No ,2, Reciprocating ,315, P32 
 N54165 ,Airplane, Cessna , 172P , No ,1, Reciprocating ,325, FNL 
 N723CD ,Airplane, Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,369, KFFC 
N0252T,Airplane, Robinson , R-22B , No ,2,Reciprocating,312,RME
 N40731 ,Airplane, Piper , PA-31-350 , No ,2, Reciprocating ,400, SAT 
 N51739 ,Airplane, Enstrom , 280C , No ,1, Reciprocating ,398,RIJ
 N80AH ,Airplane, Hannah , Avid Amphibian , Yes ,1, Reciprocating ,326, OR57 
 N75776 , Airplane , Cessna , 172N , No ,1, Reciprocating ,269, KILM 
 NONE , Airplane , Syreini , Hipps J3 Kitten , Yes ,1, Reciprocating ,167, NONE 
 N83NK ,Airplane, Labhart , Kolb Twinstar Mk III , Yes ,1, Reciprocating ,191, 3KY2 
 N56960 ,Airplane, Piper , PA-28R-200 , No ,1, Reciprocating ,264,ZSP
 N4088B ,Airplane, Bellanca , 17-31ATC , No ,1, Reciprocating ,327, KUOS 
 N48943 ,Airplane, Cessna ,152, No ,1, Reciprocating ,210,DGR
 N2011G ,Airplane, Joseph R. Sirgo , Aquilla , Yes ,1, Reciprocating ,189, X55 
 N130JH ,Airplane, Bell , 206B3 , No ,1, Turbo Shaft ,395,BHE
 N305CE ,Airplane, Saab-Scania AB (Saab) , 340B , No ,2, Turbo Prop ,242, MKE 
 N435BD ,Airplane, HEDGE , Bede-4 , Yes ,1, Reciprocating ,304, 3NO 
